Stock_ID,Branch_ID,updated_status,updated_date,arrival_date
STK001079,BRN000011,Updated,2022-08-26,2022-08-23
STK001065,BRN000013,Pending,2022-10-18,2022-09-20
STK000034,BRN000005,Updated,2022-03-22,2022-02-20
STK000649,BRN000014,Pending,2023-10-27,2023-09-28
STK000195,BRN000008,Pending,2025-02-01,2025-01-26
STK000323,BRN000005,Updated,2023-05-17,2023-05-01
STK000924,BRN000011,Updated,2023-12-17,2023-11-29
STK000390,BRN000015,Updated,2025-08-23,2025-08-11
STK000523,BRN000007,Updated,2023-01-27,2023-01-15
STK000464,BRN000005,Pending,2022-07-09,2022-06-21
STK000588,BRN000009,Updated,2023-10-23,2023-10-03
STK000344,BRN000017,Verified,2022-11-30,2022-11-09
STK000073,BRN000004,Verified,2024-07-03,2024-06-23
STK000565,BRN000014,Updated,2025-11-03,2025-10-17
STK000961,BRN000012,Pending,2025-05-22,2025-04-29
STK000299,BRN000016,Verified,2022-12-25,2022-12-04
STK001146,BRN000019,Verified,2025-07-09,2025-06-09
STK000028,BRN000001,Pending,2024-07-09,2024-06-18
STK000176,BRN000016,Updated,2023-03-08,2023-02-14
STK000315,BRN000006,Pending,2022-05-07,2022-05-01
STK000191,BRN000008,Updated,2022-10-22,2022-10-05
STK000474,BRN000003,Pending,2022-10-15,2022-09-15
STK000121,BRN000001,Verified,2025-08-30,2025-08-26
STK000391,BRN000001,Updated,2022-10-20,2022-09-29
STK001212,BRN000003,Verified,2024-12-22,2024-12-15
STK000056,BRN000013,Verified,2024-09-10,2024-08-22
STK000486,BRN000006,Updated,2022-10-31,2022-10-30
STK000350,BRN000007,Updated,2024-12-18,2024-11-30
STK000328,BRN000002,Pending,2022-04-12,2022-03-27
STK001010,BRN000017,Updated,2025-08-21,2025-08-15
STK000746,BRN000020,Pending,2022-12-07,2022-11-24
STK000322,BRN000007,Pending,2025-07-03,2025-06-15
STK000210,BRN000012,Verified,2024-10-24,2024-09-30
STK000582,BRN000016,Pending,2023-01-06,2022-12-24
STK001434,BRN000012,Updated,2024-08-06,2024-07-29
STK000921,BRN000020,Updated,2022-02-10,2022-02-05
STK000715,BRN000009,Updated,2022-04-25,2022-04-13
STK000974,BRN000004,Updated,2023-07-27,2023-07-01
STK000007,BRN000008,Verified,2025-03-07,2025-02-27
STK000005,BRN000008,Updated,2025-09-05,2025-09-04
STK001264,BRN000020,Verified,2023-10-06,2023-09-25
STK000431,BRN000018,Updated,2023-06-29,2023-06-17
STK001248,BRN000011,Verified,2025-03-28,2025-03-02
STK001171,BRN000007,Verified,2025-05-24,2025-05-06
STK001230,BRN000016,Pending,2023-02-28,2023-02-04
STK000988,BRN000006,Pending,2022-01-12,2022-01-11
STK001084,BRN000003,Verified,2025-11-09,2025-10-24
STK001459,BRN000006,Verified,2023-11-14,2023-10-21
STK000805,BRN000001,Verified,2024-06-11,2024-06-10
STK000415,BRN000013,Verified,2024-08-10,2024-07-13
STK000440,BRN000010,Verified,2024-11-01,2024-10-20
STK000810,BRN000007,Pending,2025-09-06,2025-08-10
STK000161,BRN000003,Pending,2024-10-19,2024-09-23
STK001382,BRN000007,Updated,2024-05-23,2024-05-19
STK000665,BRN000003,Pending,2023-11-23,2023-11-20
STK000746,BRN000010,Verified,2024-06-28,2024-06-23
STK001020,BRN000014,Pending,2022-12-13,2022-12-08
STK001055,BRN000020,Verified,2025-03-20,2025-02-26
STK000334,BRN000012,Updated,2022-10-01,2022-09-04
STK000518,BRN000004,Pending,2022-07-27,2022-07-26
STK001114,BRN000007,Updated,2024-05-20,2024-04-24
STK000386,BRN000009,Updated,2022-08-28,2022-08-15
STK001433,BRN000002,Pending,2025-02-17,2025-02-08
STK000780,BRN000018,Updated,2023-07-25,2023-07-12
STK000941,BRN000004,Updated,2022-08-03,2022-07-18
STK000517,BRN000006,Pending,2022-02-19,2022-01-31
STK001139,BRN000013,Verified,2023-12-13,2023-12-04
STK001078,BRN000019,Verified,2025-07-21,2025-07-01
STK001495,BRN000008,Updated,2023-01-10,2022-12-15
STK000178,BRN000018,Updated,2025-05-02,2025-04-16
STK001172,BRN000004,Updated,2024-05-16,2024-05-04
STK000294,BRN000012,Pending,2023-03-09,2023-02-13
STK001365,BRN000012,Updated,2025-09-24,2025-08-30
STK000009,BRN000017,Updated,2022-02-27,2022-02-13
STK000916,BRN000010,Updated,2024-01-06,2023-12-30
STK000511,BRN000011,Pending,2025-03-04,2025-03-03
STK000870,BRN000004,Verified,2023-04-19,2023-04-14
STK000642,BRN000008,Pending,2025-08-21,2025-07-26
STK001330,BRN000015,Verified,2024-07-14,2024-07-06
STK000024,BRN000005,Pending,2025-12-18,2025-12-01
STK001377,BRN000004,Verified,2023-02-02,2023-01-11
STK000390,BRN000003,Updated,2025-04-14,2025-03-30
STK001378,BRN000014,Updated,2022-01-08,2021-12-11
STK001445,BRN000002,Updated,2022-06-19,2022-06-07
STK000336,BRN000003,Verified,2025-02-02,2025-01-26
STK001300,BRN000001,Verified,2022-09-26,2022-09-13
STK000166,BRN000020,Verified,2022-10-26,2022-10-16
STK000482,BRN000017,Updated,2024-05-05,2024-04-14
STK000775,BRN000013,Pending,2024-09-17,2024-09-14
STK001108,BRN000010,Verified,2023-10-24,2023-09-24
STK000231,BRN000001,Updated,2023-05-30,2023-05-09
STK000239,BRN000017,Verified,2023-03-13,2023-02-27
STK001111,BRN000005,Updated,2025-03-17,2025-02-20
STK000472,BRN000005,Verified,2023-10-03,2023-09-07
STK001094,BRN000006,Pending,2024-09-30,2024-09-24
STK000621,BRN000013,Pending,2023-01-23,2022-12-30
STK000300,BRN000012,Pending,2023-09-26,2023-09-23
STK000028,BRN000007,Pending,2022-02-19,2022-02-18
STK000060,BRN000018,Updated,2023-01-10,2023-01-01
STK000733,BRN000019,Pending,2022-05-30,2022-05-24
STK000652,BRN000012,Verified,2022-06-29,2022-06-09
STK000120,BRN000002,Updated,2025-03-10,2025-02-11
STK000446,BRN000005,Verified,2022-10-21,2022-10-16
STK000553,BRN000006,Updated,2024-07-18,2024-07-10
STK000327,BRN000017,Verified,2023-02-03,2023-01-04
STK000793,BRN000004,Updated,2022-10-29,2022-10-26
STK000237,BRN000011,Verified,2025-03-22,2025-03-02
STK000263,BRN000006,Updated,2023-05-01,2023-04-04
STK000493,BRN000004,Pending,2024-03-21,2024-03-05
STK001400,BRN000010,Updated,2023-01-05,2023-01-02
STK000868,BRN000009,Updated,2024-11-07,2024-10-08
STK000086,BRN000020,Updated,2023-05-28,2023-05-20
STK000319,BRN000005,Verified,2024-04-06,2024-03-27
STK000463,BRN000001,Verified,2023-12-11,2023-12-02
STK000076,BRN000006,Updated,2022-12-27,2022-12-25
STK000712,BRN000006,Verified,2025-04-20,2025-03-29
STK000144,BRN000017,Updated,2022-06-02,2022-05-06
STK000521,BRN000003,Verified,2025-02-22,2025-02-15
STK001478,BRN000018,Updated,2025-07-21,2025-06-30
STK000019,BRN000007,Pending,2025-03-01,2025-02-26
STK001126,BRN000002,Pending,2023-10-01,2023-09-27
STK000360,BRN000002,Pending,2023-01-29,2023-01-18
STK000214,BRN000019,Verified,2022-03-18,2022-02-18
STK000215,BRN000005,Updated,2024-05-13,2024-05-02
STK001491,BRN000003,Verified,2022-03-10,2022-02-21
STK001251,BRN000017,Verified,2024-06-16,2024-05-28
STK001359,BRN000016,Verified,2023-12-23,2023-12-21
STK000437,BRN000014,Updated,2024-05-22,2024-05-18
STK001066,BRN000001,Updated,2024-05-16,2024-05-02
STK000691,BRN000001,Pending,2025-06-11,2025-06-01
STK000344,BRN000014,Updated,2022-03-30,2022-03-16
STK000519,BRN000014,Verified,2025-04-02,2025-03-25
STK001359,BRN000011,Updated,2024-11-03,2024-10-22
STK001369,BRN000013,Verified,2024-08-31,2024-08-09
STK000791,BRN000006,Pending,2024-05-12,2024-05-07
STK000467,BRN000013,Updated,2023-02-22,2023-02-06
STK000814,BRN000016,Pending,2023-05-05,2023-04-15
STK000864,BRN000016,Pending,2025-06-02,2025-05-06
STK000691,BRN000011,Pending,2023-07-01,2023-06-02
STK000704,BRN000001,Verified,2023-06-19,2023-06-07
STK000665,BRN000008,Pending,2022-03-22,2022-03-06
STK001230,BRN000007,Verified,2022-09-16,2022-09-14
STK000563,BRN000016,Verified,2023-02-23,2023-02-15
STK001464,BRN000006,Pending,2025-12-01,2025-11-24
STK000066,BRN000005,Pending,2022-08-30,2022-08-05
STK000569,BRN000017,Pending,2023-08-05,2023-07-27
STK000601,BRN000010,Verified,2022-12-08,2022-12-05
STK000455,BRN000007,Updated,2022-02-25,2022-02-04
STK000111,BRN000009,Pending,2022-08-12,2022-08-11
STK001214,BRN000002,Pending,2022-07-07,2022-07-05
STK000735,BRN000004,Updated,2022-12-01,2022-11-29
STK001168,BRN000017,Pending,2023-04-07,2023-03-24
STK001163,BRN000010,Updated,2025-04-25,2025-03-28
STK000532,BRN000019,Verified,2022-08-21,2022-07-23
STK001014,BRN000009,Pending,2024-01-19,2024-01-14
STK000685,BRN000012,Pending,2022-05-14,2022-04-19
STK001001,BRN000001,Verified,2024-05-17,2024-04-23
STK001081,BRN000004,Updated,2024-04-10,2024-03-27
STK000175,BRN000007,Updated,2023-07-20,2023-07-07
STK000557,BRN000019,Pending,2024-02-15,2024-02-14
STK001479,BRN000010,Updated,2024-07-25,2024-07-06
STK000376,BRN000002,Pending,2024-07-12,2024-07-02
STK001278,BRN000015,Pending,2023-08-24,2023-07-25
STK000127,BRN000007,Pending,2025-12-06,2025-11-09
STK000319,BRN000013,Verified,2022-08-09,2022-08-07
STK000233,BRN000005,Pending,2024-09-06,2024-08-25
STK000201,BRN000005,Verified,2025-06-27,2025-06-01
STK001061,BRN000007,Verified,2022-10-10,2022-09-14
STK000706,BRN000002,Updated,2024-11-23,2024-11-03
STK000844,BRN000019,Verified,2023-01-14,2022-12-15
STK000411,BRN000004,Updated,2025-05-13,2025-05-08
STK000714,BRN000017,Verified,2022-05-28,2022-05-09
STK000963,BRN000013,Pending,2022-07-31,2022-07-29
STK000067,BRN000006,Verified,2025-02-05,2025-01-18
STK000944,BRN000009,Verified,2025-04-30,2025-04-20
STK000706,BRN000012,Updated,2025-03-21,2025-02-23
STK001032,BRN000016,Pending,2025-10-31,2025-10-20
STK001080,BRN000018,Verified,2024-08-04,2024-07-22
STK000919,BRN000001,Updated,2023-11-22,2023-11-05
STK000689,BRN000017,Verified,2025-05-18,2025-05-07
STK001179,BRN000006,Verified,2023-04-03,2023-03-28
STK001021,BRN000014,Pending,2024-06-18,2024-05-20
STK001032,BRN000019,Verified,2023-04-06,2023-03-10
STK000036,BRN000020,Pending,2024-04-17,2024-03-29
STK001285,BRN000018,Verified,2022-06-30,2022-06-14
STK001234,BRN000005,Pending,2025-07-24,2025-06-25
STK000664,BRN000003,Pending,2023-01-25,2023-01-05
STK000646,BRN000012,Verified,2023-11-29,2023-11-05
STK000469,BRN000001,Verified,2022-06-30,2022-06-03
STK001185,BRN000015,Verified,2023-07-09,2023-07-02
STK000739,BRN000015,Verified,2022-10-13,2022-10-09
STK001497,BRN000019,Pending,2023-07-31,2023-07-05
STK000286,BRN000012,Pending,2025-06-21,2025-06-12
STK000212,BRN000018,Updated,2023-07-21,2023-07-18
STK001097,BRN000012,Pending,2024-07-27,2024-07-15
STK000558,BRN000009,Verified,2023-07-06,2023-07-02
STK001002,BRN000013,Verified,2024-07-22,2024-07-01
STK001334,BRN000014,Updated,2023-01-14,2023-01-12
STK000270,BRN000015,Pending,2025-03-12,2025-03-03
