Invoice_ID,Invoice_Details,Quantity,Original_Price,VAT_Rate,TotalAmount,Order_ID
INV000001,Invoice for order ORD000001,2,30933.23,0.07,33098.56,ORD000001
INV000002,Invoice for order ORD000002,4,10710.07,0.07,11459.77,ORD000002
INV000003,Invoice for order ORD000003,3,104384.49,0.07,111691.4,ORD000003
INV000004,Invoice for order ORD000004,5,42232.15,0.07,45188.4,ORD000004
INV000005,Invoice for order ORD000005,3,25544.28,0.07,27332.38,ORD000005
INV000006,Invoice for order ORD000006,3,88850.46,0.07,95069.99,ORD000006
INV000007,Invoice for order ORD000007,4,78206.17,0.07,83680.6,ORD000007
INV000008,Invoice for order ORD000008,4,50568.11,0.07,54107.88,ORD000008
INV000009,Invoice for order ORD000009,1,29049.45,0.07,31082.91,ORD000009
INV000010,Invoice for order ORD000010,5,59409.99,0.07,63568.69,ORD000010
INV000011,Invoice for order ORD000011,2,34100.53,0.07,36487.57,ORD000011
INV000012,Invoice for order ORD000012,5,51518.77,0.07,55125.08,ORD000012
INV000013,Invoice for order ORD000013,4,67112.45,0.07,71810.32,ORD000013
INV000014,Invoice for order ORD000014,5,27487.49,0.07,29411.61,ORD000014
INV000015,Invoice for order ORD000015,1,69130.61,0.07,73969.75,ORD000015
INV000016,Invoice for order ORD000016,2,74665.77,0.07,79892.37,ORD000016
INV000017,Invoice for order ORD000017,3,8025.87,0.07,8587.68,ORD000017
INV000018,Invoice for order ORD000018,5,62356.22,0.07,66721.16,ORD000018
INV000019,Invoice for order ORD000019,1,71460.43,0.07,76462.66,ORD000019
INV000020,Invoice for order ORD000020,1,40348.34,0.07,43172.72,ORD000020
INV000021,Invoice for order ORD000021,1,86630.29,0.07,92694.41,ORD000021
INV000022,Invoice for order ORD000022,3,61447.33,0.07,65748.64,ORD000022
INV000023,Invoice for order ORD000023,4,110007.37,0.07,117707.89,ORD000023
INV000024,Invoice for order ORD000024,2,7514.5,0.07,8040.51,ORD000024
INV000025,Invoice for order ORD000025,2,5359.67,0.07,5734.85,ORD000025
INV000026,Invoice for order ORD000026,3,104708.25,0.07,112037.83,ORD000026
INV000027,Invoice for order ORD000027,5,53337.64,0.07,57071.27,ORD000027
INV000028,Invoice for order ORD000028,2,32420.79,0.07,34690.25,ORD000028
INV000029,Invoice for order ORD000029,3,30980.73,0.07,33149.38,ORD000029
INV000030,Invoice for order ORD000030,4,83481.56,0.07,89325.27,ORD000030
INV000031,Invoice for order ORD000031,2,55884.38,0.07,59796.29,ORD000031
INV000032,Invoice for order ORD000032,5,30255.25,0.07,32373.12,ORD000032
INV000033,Invoice for order ORD000033,1,48558.46,0.07,51957.55,ORD000033
INV000034,Invoice for order ORD000034,3,11925.65,0.07,12760.45,ORD000034
INV000035,Invoice for order ORD000035,3,50268.16,0.07,53786.93,ORD000035
INV000036,Invoice for order ORD000036,4,39728.84,0.07,42509.86,ORD000036
INV000037,Invoice for order ORD000037,3,69135.28,0.07,73974.75,ORD000037
INV000038,Invoice for order ORD000038,1,8848.06,0.07,9467.42,ORD000038
INV000039,Invoice for order ORD000039,5,89935.49,0.07,96230.97,ORD000039
INV000040,Invoice for order ORD000040,1,16413.22,0.07,17562.15,ORD000040
INV000041,Invoice for order ORD000041,4,4353.72,0.07,4658.48,ORD000041
INV000042,Invoice for order ORD000042,3,40913.07,0.07,43776.99,ORD000042
INV000043,Invoice for order ORD000043,2,76306.47,0.07,81647.92,ORD000043
INV000044,Invoice for order ORD000044,1,64564.16,0.07,69083.65,ORD000044
INV000045,Invoice for order ORD000045,3,73011.69,0.07,78122.51,ORD000045
INV000046,Invoice for order ORD000046,1,82629.11,0.07,88413.15,ORD000046
INV000047,Invoice for order ORD000047,5,13619.1,0.07,14572.44,ORD000047
INV000048,Invoice for order ORD000048,2,111743.58,0.07,119565.63,ORD000048
INV000049,Invoice for order ORD000049,4,22823.65,0.07,24421.31,ORD000049
INV000050,Invoice for order ORD000050,4,19749.94,0.07,21132.44,ORD000050
INV000051,Invoice for order ORD000051,1,90987.22,0.07,97356.33,ORD000051
INV000052,Invoice for order ORD000052,1,61892.21,0.07,66224.66,ORD000052
INV000053,Invoice for order ORD000053,2,79963.73,0.07,85561.19,ORD000053
INV000054,Invoice for order ORD000054,3,57286.27,0.07,61296.31,ORD000054
INV000055,Invoice for order ORD000055,2,26906.51,0.07,28789.97,ORD000055
INV000056,Invoice for order ORD000056,5,64380.51,0.07,68887.15,ORD000056
INV000057,Invoice for order ORD000057,5,14960.43,0.07,16007.66,ORD000057
INV000058,Invoice for order ORD000058,4,112104.31,0.07,119951.61,ORD000058
INV000059,Invoice for order ORD000059,4,92419.68,0.07,98889.06,ORD000059
INV000060,Invoice for order ORD000060,3,72205.1,0.07,77259.46,ORD000060
INV000061,Invoice for order ORD000061,5,38943.48,0.07,41669.52,ORD000061
INV000062,Invoice for order ORD000062,2,86214.87,0.07,92249.91,ORD000062
INV000063,Invoice for order ORD000063,1,93318.88,0.07,99851.2,ORD000063
INV000064,Invoice for order ORD000064,2,18556.12,0.07,19855.05,ORD000064
INV000065,Invoice for order ORD000065,5,100414.63,0.07,107443.65,ORD000065
INV000066,Invoice for order ORD000066,5,31118.6,0.07,33296.9,ORD000066
INV000067,Invoice for order ORD000067,5,10901.58,0.07,11664.69,ORD000067
INV000068,Invoice for order ORD000068,5,17688.05,0.07,18926.21,ORD000068
INV000069,Invoice for order ORD000069,5,38173.4,0.07,40845.54,ORD000069
INV000070,Invoice for order ORD000070,1,9538.44,0.07,10206.13,ORD000070
INV000071,Invoice for order ORD000071,3,73186.94,0.07,78310.03,ORD000071
INV000072,Invoice for order ORD000072,1,56089.3,0.07,60015.55,ORD000072
INV000073,Invoice for order ORD000073,3,54403.65,0.07,58211.91,ORD000073
INV000074,Invoice for order ORD000074,4,8617.08,0.07,9220.28,ORD000074
INV000075,Invoice for order ORD000075,4,54549.54,0.07,58368.01,ORD000075
