Membership_ID,Membership_tier,Membership_status,Customer_account_ID
MEM000001,Bronze,Active,CST000001
MEM000002,Silver,Active,CST000002
MEM000003,Bronze,Active,CST000003
MEM000004,Bronze,Active,CST000004
MEM000005,Gold,Active,CST000005
MEM000006,Platinum,Active,CST000006
MEM000007,Bronze,Active,CST000007
MEM000008,Gold,Active,CST000008
MEM000009,Silver,Active,CST000009
MEM000010,Silver,Active,CST000010
MEM000011,Silver,Active,CST000011
MEM000012,Silver,Active,CST000012
MEM000013,Silver,Active,CST000013
MEM000014,Gold,Active,CST000014
MEM000015,Gold,Active,CST000015
MEM000016,Diamond,Active,CST000016
MEM000017,Bronze,Active,CST000017
MEM000018,Silver,Active,CST000018
MEM000019,Bronze,Inactive,CST000019
MEM000020,Bronze,Active,CST000020
MEM000021,Silver,Active,CST000021
MEM000022,Diamond,Active,CST000022
MEM000023,Bronze,Expired,CST000023
MEM000024,Gold,Active,CST000024
MEM000025,Silver,Active,CST000025
MEM000026,Bronze,Inactive,CST000026
MEM000027,Diamond,Expired,CST000027
MEM000028,Bronze,Inactive,CST000028
MEM000029,Bronze,Active,CST000029
MEM000030,Bronze,Active,CST000030
MEM000031,Bronze,Active,CST000031
MEM000032,Silver,Active,CST000032
MEM000033,Silver,Active,CST000033
MEM000034,Gold,Active,CST000034
MEM000035,Platinum,Active,CST000035
MEM000036,Gold,Active,CST000036
MEM000037,Platinum,Active,CST000037
MEM000038,Silver,Active,CST000038
MEM000039,Gold,Inactive,CST000039
MEM000040,Gold,Active,CST000040
MEM000041,Diamond,Active,CST000041
MEM000042,Bronze,Active,CST000042
MEM000043,Silver,Active,CST000043
MEM000044,Gold,Inactive,CST000044
MEM000045,Bronze,Active,CST000045
MEM000046,Gold,Active,CST000046
MEM000047,Bronze,Active,CST000047
MEM000048,Silver,Active,CST000048
MEM000049,Diamond,Active,CST000049
MEM000050,Bronze,Active,CST000050
MEM000051,Bronze,Active,CST000051
MEM000052,Bronze,Inactive,CST000052
MEM000053,Silver,Active,CST000053
MEM000054,Silver,Active,CST000054
MEM000055,Gold,Inactive,CST000055
MEM000056,Bronze,Active,CST000056
