Order_ID,Date,Status,TotalPrice,Order_quantity
ORD000001,2024-11-17,Completed,33098.56,2
ORD000002,2023-03-31,Completed,11459.77,4
ORD000003,2024-04-29,Shipped,111691.4,3
ORD000004,2024-03-01,Completed,45188.4,5
ORD000005,2023-10-15,Returned,27332.38,3
ORD000006,2022-10-09,Cancelled,95069.99,3
ORD000007,2022-10-12,Completed,83680.6,4
ORD000008,2022-01-11,Shipped,54107.88,4
ORD000009,2022-11-03,Cancelled,31082.91,1
ORD000010,2022-08-16,Completed,63568.69,5
ORD000011,2022-04-08,Shipped,36487.57,2
ORD000012,2022-08-16,Completed,55125.08,5
ORD000013,2022-02-03,Shipped,71810.32,4
ORD000014,2022-10-22,Pending,29411.61,5
ORD000015,2023-05-08,Completed,73969.75,1
ORD000016,2022-06-25,Completed,79892.37,2
ORD000017,2024-12-13,Completed,8587.68,3
ORD000018,2024-03-10,Completed,66721.16,5
ORD000019,2024-02-04,Shipped,76462.66,1
ORD000020,2022-05-19,Completed,43172.72,1
ORD000021,2023-11-12,Completed,92694.41,1
ORD000022,2025-08-09,Completed,65748.64,3
ORD000023,2024-09-07,Completed,117707.89,4
ORD000024,2024-07-26,Pending,8040.51,2
ORD000025,2023-02-13,Completed,5734.85,2
ORD000026,2024-11-21,Shipped,112037.83,3
ORD000027,2022-03-16,Completed,57071.27,5
ORD000028,2022-04-08,Shipped,34690.25,2
ORD000029,2024-01-24,Shipped,33149.38,3
ORD000030,2024-03-02,Completed,89325.27,4
ORD000031,2024-10-15,Completed,59796.29,2
ORD000032,2022-06-19,Completed,32373.12,5
ORD000033,2023-01-05,Processing,51957.55,1
ORD000034,2023-11-03,Completed,12760.45,3
ORD000035,2024-05-22,Processing,53786.93,3
ORD000036,2022-03-28,Completed,42509.86,4
ORD000037,2024-06-09,Processing,73974.75,3
ORD000038,2025-07-29,Completed,9467.42,1
ORD000039,2025-10-23,Completed,96230.97,5
ORD000040,2025-05-29,Completed,17562.15,1
ORD000041,2022-05-18,Processing,4658.48,4
ORD000042,2025-03-07,Completed,43776.99,3
ORD000043,2024-01-30,Completed,81647.92,2
ORD000044,2024-12-20,Completed,69083.65,1
ORD000045,2023-05-27,Completed,78122.51,3
ORD000046,2024-10-19,Returned,88413.15,1
ORD000047,2023-06-18,Completed,14572.44,5
ORD000048,2023-08-08,Processing,119565.63,2
ORD000049,2022-10-05,Processing,24421.31,4
ORD000050,2025-12-31,Shipped,21132.44,4
ORD000051,2023-10-17,Completed,97356.33,1
ORD000052,2023-08-18,Processing,66224.66,1
ORD000053,2025-12-05,Shipped,85561.19,2
ORD000054,2022-09-06,Pending,61296.31,3
ORD000055,2024-10-08,Returned,28789.97,2
ORD000056,2024-08-15,Completed,68887.15,5
ORD000057,2022-06-26,Shipped,16007.66,5
ORD000058,2024-09-07,Completed,119951.61,4
ORD000059,2022-06-01,Completed,98889.06,4
ORD000060,2024-07-10,Completed,77259.46,3
ORD000061,2025-02-03,Completed,41669.52,5
ORD000062,2022-09-22,Pending,92249.91,2
ORD000063,2024-11-27,Completed,99851.2,1
ORD000064,2025-12-23,Completed,19855.05,2
ORD000065,2022-06-11,Completed,107443.65,5
ORD000066,2025-07-04,Completed,33296.9,5
ORD000067,2025-08-05,Completed,11664.69,5
ORD000068,2025-09-11,Completed,18926.21,5
ORD000069,2025-02-28,Pending,40845.54,5
ORD000070,2025-08-06,Completed,10206.13,1
ORD000071,2025-03-17,Shipped,78310.03,3
ORD000072,2025-07-08,Completed,60015.55,1
ORD000073,2025-11-03,Completed,58211.91,3
ORD000074,2022-05-03,Completed,9220.28,4
ORD000075,2023-02-22,Completed,58368.01,4
ORD000076,2023-10-16,Completed,37853.61,2
ORD000077,2022-09-25,Processing,117057.21,3
ORD000078,2023-10-16,Shipped,67617.32,5
ORD000079,2023-05-23,Completed,32462.87,1
ORD000080,2024-02-26,Completed,35180.33,1
ORD000081,2022-11-24,Shipped,30168.3,4
ORD000082,2023-01-24,Shipped,86674.85,5
ORD000083,2024-08-14,Shipped,119518.34,4
ORD000084,2022-07-04,Completed,59935.75,3
ORD000085,2023-05-09,Cancelled,55139.06,5
ORD000086,2023-07-31,Completed,6314.65,3
ORD000087,2022-01-17,Completed,34646.93,4
ORD000088,2023-06-26,Shipped,16505.23,4
ORD000089,2024-03-31,Processing,44229.51,4
ORD000090,2025-02-07,Completed,23761.31,5
ORD000091,2025-01-31,Completed,60758.54,4
ORD000092,2022-09-01,Completed,81807.64,5
ORD000093,2023-11-26,Completed,47571.49,1
ORD000094,2023-02-12,Completed,90718.34,3
ORD000095,2022-04-03,Pending,60259.31,4
ORD000096,2024-11-29,Completed,96573.92,3
ORD000097,2022-10-14,Completed,107229.24,5
ORD000098,2024-03-15,Completed,38564.34,5
ORD000099,2024-11-04,Returned,71450.1,3
ORD000100,2025-02-26,Shipped,59036.67,5
ORD000101,2025-10-11,Completed,44518.76,1
ORD000102,2025-11-10,Completed,70252.41,4
ORD000103,2025-09-04,Pending,57213.53,5
ORD000104,2022-04-16,Shipped,69527.31,5
ORD000105,2025-06-23,Completed,63145.76,2
ORD000106,2025-10-26,Shipped,18159.2,4
ORD000107,2022-08-14,Completed,113810.52,5
ORD000108,2022-11-07,Completed,37986.25,4
ORD000109,2025-06-06,Completed,49540.1,2
ORD000110,2024-11-28,Cancelled,84840.14,1
ORD000111,2024-09-06,Completed,119775.68,3
ORD000112,2024-07-30,Completed,114823.92,3
ORD000113,2025-10-16,Cancelled,65779.65,3
ORD000114,2023-01-29,Shipped,73404.15,3
ORD000115,2023-04-06,Cancelled,67191.35,3
ORD000116,2025-12-14,Cancelled,92655.33,3
ORD000117,2023-12-16,Completed,38386.37,4
ORD000118,2025-03-20,Completed,34890.83,3
ORD000119,2024-03-19,Processing,107543.38,4
ORD000120,2023-08-13,Shipped,35209.09,2
ORD000121,2024-06-24,Cancelled,41890.44,1
ORD000122,2025-01-08,Processing,26071.42,4
ORD000123,2022-10-09,Completed,83692.47,5
ORD000124,2022-04-14,Completed,29094.21,5
ORD000125,2023-04-22,Processing,27467.76,5
ORD000126,2024-08-25,Completed,39970.09,4
ORD000127,2025-02-01,Completed,1119.18,2
ORD000128,2024-09-01,Returned,49125.44,2
ORD000129,2023-08-12,Completed,90831.37,2
ORD000130,2022-07-03,Completed,108998.47,1
ORD000131,2022-03-18,Processing,64450.7,2
ORD000132,2022-12-27,Cancelled,50437.26,2
ORD000133,2024-03-24,Cancelled,119662.03,1
ORD000134,2023-08-16,Shipped,112424.75,2
ORD000135,2025-05-19,Shipped,36157.87,1
ORD000136,2025-08-06,Completed,34505.12,3
ORD000137,2022-10-02,Completed,106766.57,4
ORD000138,2022-08-19,Shipped,33104.03,4
ORD000139,2023-01-17,Completed,77970.1,4
ORD000140,2025-03-08,Completed,94996.74,3
ORD000141,2025-08-01,Processing,21471.64,2
ORD000142,2022-06-27,Shipped,62076.04,4
ORD000143,2022-10-15,Completed,22581.35,1
ORD000144,2024-02-25,Completed,1316.2,2
ORD000145,2023-09-11,Completed,114507.16,3
ORD000146,2025-08-31,Completed,1866.57,5
ORD000147,2022-08-31,Completed,7923.86,2
ORD000148,2024-10-26,Completed,48947.29,2
ORD000149,2025-08-01,Cancelled,82989.7,3
ORD000150,2023-03-29,Cancelled,44421.5,3
ORD000151,2024-07-20,Completed,57642.74,2
ORD000152,2025-12-08,Processing,45148.17,5
ORD000153,2025-09-22,Completed,91003.39,4
ORD000154,2025-05-05,Shipped,81800.86,2
ORD000155,2024-12-17,Shipped,63298.05,1
ORD000156,2022-08-18,Processing,110110.74,1
ORD000157,2023-02-19,Completed,108395.14,5
ORD000158,2024-12-01,Completed,20162.19,2
ORD000159,2024-09-28,Completed,86171.7,2
ORD000160,2022-04-24,Completed,53735.18,5
ORD000161,2025-02-28,Completed,50143.24,5
ORD000162,2023-09-24,Completed,80895.74,4
ORD000163,2022-01-07,Processing,30907.64,4
