Product_line_number,Amount,Price,Total_Price,Date,Order_ID
PLN009730,4,9253.79,37015.16,2024-06-08,ORD000002
PLN036324,4,68351.53,273406.12,2023-03-05,ORD000003
PLN001432,4,27562.62,110250.48,2024-07-01,ORD000004
PLN031484,4,41573.84,166295.36,2025-06-14,ORD000004
PLN042453,2,58268.87,116537.74,2025-01-21,ORD000004
PLN048742,1,70895.89,70895.89,2024-06-21,ORD000004
PLN046867,1,25086.72,25086.72,2024-08-20,ORD000006
PLN046615,4,69180.4,276721.6,2025-02-01,ORD000007
PLN049455,3,41617.81,124853.43,2024-07-22,ORD000007
PLN019957,4,10301.85,41207.4,2023-05-07,ORD000008
PLN035712,3,62846.1,188538.3,2023-10-11,ORD000008
PLN010975,3,46097.23,138291.69,2022-02-12,ORD000009
PLN032260,4,72977.57,291910.28,2023-03-05,ORD000010
PLN001697,3,14572.36,43717.08,2025-11-25,ORD000012
PLN034790,4,25010.73,100042.92,2025-03-12,ORD000012
PLN038412,1,67546.69,67546.69,2024-12-10,ORD000012
PLN042447,3,61215.4,183646.2,2025-06-02,ORD000012
PLN013664,4,21852.66,87410.64,2024-03-24,ORD000014
PLN032157,4,66880.01,267520.04,2023-03-29,ORD000014
PLN034818,2,63843.66,127687.32,2024-05-27,ORD000014
PLN035019,1,12841.2,12841.2,2024-01-26,ORD000014
PLN022077,2,34385.35,68770.7,2023-05-24,ORD000015
PLN013527,4,28304.52,113218.08,2024-09-24,ORD000016
PLN014955,4,9017.2,36068.8,2024-01-08,ORD000016
PLN018130,2,18960.94,37921.88,2023-06-09,ORD000016
PLN020566,3,67101.95,201305.85,2024-04-09,ORD000016
PLN042634,2,61935.67,123871.34,2022-09-04,ORD000016
PLN014419,4,26161.16,104644.64,2022-05-19,ORD000017
PLN034133,1,79146.95,79146.95,2023-04-16,ORD000017
PLN001106,2,14644.56,29289.12,2025-08-23,ORD000019
PLN005509,1,863.82,863.82,2025-03-12,ORD000019
PLN042275,3,59605.24,178815.72,2025-07-23,ORD000019
PLN004938,1,37327.12,37327.12,2022-08-02,ORD000020
PLN005451,3,59445.27,178335.81,2023-12-25,ORD000020
PLN016686,3,56839.29,170517.87,2024-05-24,ORD000020
PLN040437,3,48408.18,145224.54,2022-02-07,ORD000020
PLN004476,2,59250.75,118501.5,2022-08-24,ORD000021
PLN018193,3,57200.4,171601.2,2024-05-15,ORD000021
PLN027581,3,53606.55,160819.65,2024-06-12,ORD000021
PLN047554,1,57369.42,57369.42,2022-05-12,ORD000021
PLN008167,3,16670.4,50011.2,2022-07-03,ORD000022
PLN043672,1,18159.36,18159.36,2023-02-14,ORD000022
PLN046373,2,48384.78,96769.56,2025-07-20,ORD000022
PLN010349,1,8299.31,8299.31,2024-11-19,ORD000023
PLN013138,1,75702.32,75702.32,2024-10-13,ORD000023
PLN022391,2,9891.71,19783.42,2024-05-14,ORD000023
