Payment_ID,Payment_Status,Payment_Description,Invoice_ID
PAY000001,Paid,Payment for invoice INV000001,INV000001
PAY000002,Paid,Payment for invoice INV000002,INV000002
PAY000003,Paid,Payment for invoice INV000003,INV000003
PAY000004,Paid,Payment for invoice INV000004,INV000004
PAY000005,Paid,Payment for invoice INV000005,INV000005
PAY000006,Paid,Payment for invoice INV000006,INV000006
PAY000007,Paid,Payment for invoice INV000007,INV000007
PAY000008,Paid,Payment for invoice INV000008,INV000008
PAY000009,Paid,Payment for invoice INV000009,INV000009
PAY000010,Paid,Payment for invoice INV000010,INV000010
PAY000011,Refunded,Payment for invoice INV000011,INV000011
PAY000012,Paid,Payment for invoice INV000012,INV000012
PAY000013,Pending,Payment for invoice INV000013,INV000013
PAY000014,Refunded,Payment for invoice INV000014,INV000014
PAY000015,Partially Paid,Payment for invoice INV000015,INV000015
PAY000016,Paid,Payment for invoice INV000016,INV000016
PAY000017,Paid,Payment for invoice INV000017,INV000017
PAY000018,Paid,Payment for invoice INV000018,INV000018
PAY000019,Paid,Payment for invoice INV000019,INV000019
PAY000020,Refunded,Payment for invoice INV000020,INV000020
PAY000021,Paid,Payment for invoice INV000021,INV000021
PAY000022,Paid,Payment for invoice INV000022,INV000022
PAY000023,Paid,Payment for invoice INV000023,INV000023
PAY000024,Paid,Payment for invoice INV000024,INV000024
PAY000025,Paid,Payment for invoice INV000025,INV000025
PAY000026,Failed,Payment for invoice INV000026,INV000026
PAY000027,Paid,Payment for invoice INV000027,INV000027
PAY000028,Paid,Payment for invoice INV000028,INV000028
PAY000029,Paid,Payment for invoice INV000029,INV000029
PAY000030,Paid,Payment for invoice INV000030,INV000030
PAY000031,Failed,Payment for invoice INV000031,INV000031
PAY000032,Paid,Payment for invoice INV000032,INV000032
PAY000033,Paid,Payment for invoice INV000033,INV000033
PAY000034,Paid,Payment for invoice INV000034,INV000034
PAY000035,Paid,Payment for invoice INV000035,INV000035
PAY000036,Paid,Payment for invoice INV000036,INV000036
PAY000037,Paid,Payment for invoice INV000037,INV000037
PAY000038,Paid,Payment for invoice INV000038,INV000038
PAY000039,Paid,Payment for invoice INV000039,INV000039
PAY000040,Paid,Payment for invoice INV000040,INV000040
PAY000041,Paid,Payment for invoice INV000041,INV000041
PAY000042,Paid,Payment for invoice INV000042,INV000042
PAY000043,Paid,Payment for invoice INV000043,INV000043
PAY000044,Paid,Payment for invoice INV000044,INV000044
PAY000045,Paid,Payment for invoice INV000045,INV000045
PAY000046,Paid,Payment for invoice INV000046,INV000046
PAY000047,Paid,Payment for invoice INV000047,INV000047
PAY000048,Partially Paid,Payment for invoice INV000048,INV000048
PAY000049,Pending,Payment for invoice INV000049,INV000049
PAY000050,Paid,Payment for invoice INV000050,INV000050
