Customer_account_ID,Order_ID,Place_Date,Place_Status
CST000029,ORD000001,2024-03-14,Confirmed
CST000702,ORD000002,2022-01-02,Delivered
CST001292,ORD000003,2022-02-21,Pending
CST002881,ORD000004,2023-07-10,Shipped
CST002829,ORD000005,2024-09-18,Cancelled
CST002766,ORD000006,2022-12-18,Confirmed
CST002317,ORD000007,2025-04-12,Pending
CST001365,ORD000008,2023-09-04,Confirmed
CST002828,ORD000009,2024-07-16,Cancelled
CST001066,ORD000010,2023-07-19,Delivered
CST000453,ORD000011,2023-08-02,Cancelled
CST000138,ORD000012,2024-03-19,Confirmed
CST001748,ORD000013,2023-09-14,Delivered
CST002995,ORD000014,2023-03-23,Processing
CST000947,ORD000015,2025-04-06,Pending
CST001342,ORD000016,2023-03-22,Delivered
CST000585,ORD000017,2025-05-23,Pending
CST001318,ORD000018,2024-08-07,Delivered
CST000845,ORD000019,2024-02-24,Shipped
CST000625,ORD000020,2024-02-25,Shipped
CST001572,ORD000021,2025-09-30,Delivered
CST001455,ORD000022,2023-08-11,Shipped
CST000251,ORD000023,2022-02-10,Processing
CST002422,ORD000024,2025-12-30,Confirmed
CST000672,ORD000025,2024-10-17,Processing
CST002182,ORD000026,2023-02-13,Delivered
CST002853,ORD000027,2025-12-01,Cancelled
CST001783,ORD000028,2023-09-26,Delivered
CST002055,ORD000029,2025-07-26,Pending
CST000989,ORD000030,2025-09-26,Shipped
CST001977,ORD000031,2023-03-19,Confirmed
CST002588,ORD000032,2024-04-28,Shipped
CST000169,ORD000033,2023-07-30,Delivered
CST002208,ORD000034,2023-05-18,Pending
CST001117,ORD000035,2022-03-13,Delivered
CST002713,ORD000036,2022-12-22,Pending
CST002154,ORD000037,2023-12-28,Pending
CST000352,ORD000038,2022-03-14,Confirmed
CST002184,ORD000039,2023-04-05,Pending
CST001037,ORD000040,2025-09-11,Pending
CST000930,ORD000041,2022-11-26,Pending
CST002958,ORD000042,2022-08-21,Processing
CST001224,ORD000043,2022-01-06,Processing
CST002566,ORD000044,2022-12-17,Pending
CST001901,ORD000045,2022-09-07,Processing
CST001556,ORD000046,2025-10-02,Shipped
CST000199,ORD000047,2023-02-16,Shipped
CST002151,ORD000048,2025-10-21,Delivered
CST001751,ORD000049,2025-12-02,Pending
CST000121,ORD000050,2025-05-05,Processing
CST002204,ORD000051,2022-08-16,Cancelled
CST002472,ORD000052,2023-05-31,Cancelled
CST001015,ORD000053,2024-09-05,Processing
CST002401,ORD000054,2023-12-10,Cancelled
CST001052,ORD000055,2025-01-04,Cancelled
CST002965,ORD000056,2022-03-24,Shipped
CST000274,ORD000057,2024-03-29,Pending
CST002765,ORD000058,2023-09-27,Shipped
CST001173,ORD000059,2022-02-05,Pending
CST002254,ORD000060,2024-12-11,Pending
CST002951,ORD000061,2024-04-30,Confirmed
CST000664,ORD000062,2024-09-10,Pending
CST000843,ORD000063,2023-02-01,Shipped
CST000779,ORD000064,2023-05-30,Delivered
CST000210,ORD000065,2024-12-08,Shipped
CST002487,ORD000066,2025-06-19,Processing
CST001404,ORD000067,2022-03-21,Cancelled
CST002115,ORD000068,2024-06-22,Delivered
CST001583,ORD000069,2024-05-04,Shipped
CST001530,ORD000070,2023-04-06,Delivered
CST002736,ORD000071,2022-05-25,Cancelled
CST001681,ORD000072,2022-02-25,Pending
CST001446,ORD000073,2022-11-07,Processing
CST000191,ORD000074,2025-02-07,Cancelled
CST002003,ORD000075,2023-07-02,Cancelled
CST002316,ORD000076,2025-06-13,Cancelled
CST002894,ORD000077,2024-04-29,Cancelled
CST000618,ORD000078,2023-07-01,Shipped
CST000005,ORD000079,2022-04-26,Confirmed
CST002605,ORD000080,2022-12-20,Delivered
CST002662,ORD000081,2025-07-22,Pending
CST001833,ORD000082,2025-07-30,Cancelled
CST000734,ORD000083,2025-07-20,Confirmed
CST000424,ORD000084,2023-12-29,Shipped
CST001530,ORD000085,2024-05-20,Confirmed
CST000201,ORD000086,2024-10-16,Confirmed
CST002262,ORD000087,2025-05-12,Confirmed
CST001756,ORD000088,2022-04-11,Cancelled
CST001516,ORD000089,2025-02-03,Processing
CST000701,ORD000090,2024-03-29,Confirmed
CST002155,ORD000091,2023-03-08,Processing
CST000552,ORD000092,2025-11-30,Delivered
CST000110,ORD000093,2022-04-24,Delivered
CST001545,ORD000094,2024-06-24,Processing
CST002089,ORD000095,2025-11-19,Shipped
CST001511,ORD000096,2023-06-19,Processing
CST002224,ORD000097,2025-06-26,Delivered
CST002775,ORD000098,2025-11-11,Confirmed
CST001946,ORD000099,2022-09-07,Processing
CST000436,ORD000100,2023-02-06,Cancelled
CST000878,ORD000101,2023-01-16,Cancelled
CST001186,ORD000102,2024-04-08,Processing
CST001634,ORD000103,2022-04-20,Cancelled
CST002546,ORD000104,2022-12-09,Processing
CST001300,ORD000105,2023-08-22,Delivered
CST001558,ORD000106,2023-04-29,Cancelled
CST000494,ORD000107,2024-06-06,Pending
CST000046,ORD000108,2024-03-13,Shipped
CST002573,ORD000109,2024-06-06,Processing
CST001055,ORD000110,2025-08-23,Confirmed
CST002751,ORD000111,2025-10-07,Delivered
CST001698,ORD000112,2025-10-03,Delivered
CST000440,ORD000113,2023-05-14,Cancelled
CST002137,ORD000114,2023-10-26,Shipped
CST001768,ORD000115,2025-02-25,Delivered
CST002731,ORD000116,2025-06-23,Delivered
CST000129,ORD000117,2025-06-09,Processing
CST001788,ORD000118,2023-02-19,Shipped
CST000090,ORD000119,2023-07-31,Pending
CST000325,ORD000120,2025-02-06,Cancelled
CST002345,ORD000121,2025-03-06,Pending
CST001067,ORD000122,2025-01-30,Shipped
CST000711,ORD000123,2022-05-21,Confirmed
CST001496,ORD000124,2023-04-06,Delivered
CST000408,ORD000125,2022-04-24,Delivered
