Receipt_ID,Receipt_DateTime,Quantity,TotalPrice,ChangeDue,TAX_Rate,Payment_ID
RCP000001,2024-08-19 09:27:00,2,33098.56,0.0,0.07,PAY000001
RCP000002,2023-08-16 17:26:00,4,11459.77,0.0,0.07,PAY000002
RCP000003,2023-10-12 12:35:00,3,111691.4,0.0,0.07,PAY000003
RCP000004,2022-03-10 19:20:00,5,45188.4,200.0,0.07,PAY000004
RCP000005,2025-03-24 15:13:00,3,27332.38,0.0,0.07,PAY000005
RCP000006,2025-08-23 17:38:00,3,95069.99,500.0,0.07,PAY000006
RCP000007,2022-03-31 11:53:00,4,83680.6,50.0,0.07,PAY000007
RCP000008,2023-05-13 15:31:00,4,54107.88,200.0,0.07,PAY000008
RCP000009,2023-05-02 12:49:00,1,31082.91,50.0,0.07,PAY000009
RCP000010,2022-02-13 21:53:00,5,63568.69,0.0,0.07,PAY000010
RCP000011,2024-01-24 09:09:00,2,36487.57,0.0,0.07,PAY000011
RCP000012,2022-02-20 10:41:00,5,55125.08,0.0,0.07,PAY000012
RCP000013,2023-08-31 15:30:00,4,71810.32,100.0,0.07,PAY000013
RCP000014,2024-05-29 08:25:00,5,29411.61,500.0,0.07,PAY000014
RCP000015,2022-12-05 15:45:00,1,73969.75,50.0,0.07,PAY000015
RCP000016,2022-09-11 19:34:00,2,79892.37,100.0,0.07,PAY000016
RCP000017,2024-10-19 14:23:00,3,8587.68,500.0,0.07,PAY000017
RCP000018,2024-12-22 08:33:00,5,66721.16,0.0,0.07,PAY000018
RCP000019,2024-09-08 09:37:00,1,76462.66,0.0,0.07,PAY000019
RCP000020,2022-10-25 17:14:00,1,43172.72,0.0,0.07,PAY000020
RCP000021,2024-03-08 21:44:00,1,92694.41,500.0,0.07,PAY000021
RCP000022,2023-07-06 21:25:00,3,65748.64,0.0,0.07,PAY000022
RCP000023,2023-09-15 09:21:00,4,117707.89,100.0,0.07,PAY000023
RCP000024,2022-10-13 09:58:00,2,8040.51,500.0,0.07,PAY000024
RCP000025,2025-11-30 09:34:00,2,5734.85,0.0,0.07,PAY000025
RCP000026,2022-12-06 11:32:00,3,112037.83,200.0,0.07,PAY000026
RCP000027,2024-12-26 20:33:00,5,57071.27,50.0,0.07,PAY000027
RCP000028,2025-04-08 12:47:00,2,34690.25,0.0,0.07,PAY000028
RCP000029,2025-08-13 10:06:00,3,33149.38,100.0,0.07,PAY000029
RCP000030,2023-11-08 09:10:00,4,89325.27,200.0,0.07,PAY000030
RCP000031,2022-06-16 10:07:00,2,59796.29,500.0,0.07,PAY000031
RCP000032,2024-02-24 11:44:00,5,32373.12,0.0,0.07,PAY000032
RCP000033,2024-06-01 21:38:00,1,51957.55,0.0,0.07,PAY000033
RCP000034,2025-02-28 10:32:00,3,12760.45,0.0,0.07,PAY000034
RCP000035,2023-01-13 17:12:00,3,53786.93,200.0,0.07,PAY000035
RCP000036,2022-08-27 10:04:00,4,42509.86,0.0,0.07,PAY000036
RCP000037,2022-12-25 17:50:00,3,73974.75,500.0,0.07,PAY000037
RCP000038,2022-12-03 08:34:00,1,9467.42,500.0,0.07,PAY000038
RCP000039,2022-10-26 14:00:00,5,96230.97,100.0,0.07,PAY000039
RCP000040,2022-02-16 19:42:00,1,17562.15,500.0,0.07,PAY000040
RCP000041,2024-12-01 20:46:00,4,4658.48,0.0,0.07,PAY000041
RCP000042,2023-11-14 15:47:00,3,43776.99,200.0,0.07,PAY000042
RCP000043,2022-03-04 21:21:00,2,81647.92,0.0,0.07,PAY000043
RCP000044,2022-01-19 19:09:00,1,69083.65,100.0,0.07,PAY000044
RCP000045,2022-01-13 16:19:00,3,78122.51,0.0,0.07,PAY000045
RCP000046,2022-01-15 10:07:00,1,88413.15,200.0,0.07,PAY000046
RCP000047,2022-10-31 09:42:00,5,14572.44,50.0,0.07,PAY000047
RCP000048,2025-02-22 18:15:00,2,119565.63,0.0,0.07,PAY000048
RCP000049,2022-09-18 09:36:00,4,24421.31,0.0,0.07,PAY000049
RCP000050,2022-04-02 14:37:00,4,21132.44,0.0,0.07,PAY000050
RCP000051,2023-05-10 10:12:00,1,97356.33,500.0,0.07,PAY000051
RCP000052,2022-08-07 15:36:00,1,66224.66,500.0,0.07,PAY000052
RCP000053,2025-01-19 09:55:00,2,85561.19,0.0,0.07,PAY000053
RCP000054,2025-06-26 21:37:00,3,61296.31,0.0,0.07,PAY000054
RCP000055,2024-03-04 18:39:00,2,28789.97,0.0,0.07,PAY000055
RCP000056,2025-01-09 16:13:00,5,68887.15,0.0,0.07,PAY000056
RCP000057,2024-05-29 16:48:00,5,16007.66,50.0,0.07,PAY000057
RCP000058,2025-05-08 15:42:00,4,119951.61,500.0,0.07,PAY000058
RCP000059,2024-04-17 20:44:00,4,98889.06,200.0,0.07,PAY000059
RCP000060,2023-03-21 15:18:00,3,77259.46,500.0,0.07,PAY000060
RCP000061,2025-09-28 19:52:00,5,41669.52,500.0,0.07,PAY000061
RCP000062,2022-08-18 14:21:00,2,92249.91,100.0,0.07,PAY000062
RCP000063,2025-11-10 11:44:00,1,99851.2,0.0,0.07,PAY000063
RCP000064,2025-01-26 21:26:00,2,19855.05,0.0,0.07,PAY000064
RCP000065,2024-01-11 13:43:00,5,107443.65,0.0,0.07,PAY000065
RCP000066,2025-11-21 15:26:00,5,33296.9,0.0,0.07,PAY000066
RCP000067,2022-12-23 13:35:00,5,11664.69,0.0,0.07,PAY000067
RCP000068,2024-04-12 12:45:00,5,18926.21,0.0,0.07,PAY000068
RCP000069,2024-07-15 10:37:00,5,40845.54,200.0,0.07,PAY000069
RCP000070,2023-06-05 16:54:00,1,10206.13,200.0,0.07,PAY000070
RCP000071,2023-04-20 21:33:00,3,78310.03,500.0,0.07,PAY000071
RCP000072,2023-07-05 15:58:00,1,60015.55,100.0,0.07,PAY000072
