Refund_ID,Refund_Date,Refund_Amount,Refund_Status,Approval_Date,Refund_Notes,Return_ID
RFD000001,2025-01-04,10413.99,Approved,2025-01-11,Refund processed per policy.,RET001031
RFD000002,2023-08-23,55246.84,Approved,2023-08-26,Refund processed per policy.,RET000721
RFD000003,2023-03-17,8007.15,Approved,2023-03-27,Refund processed per policy.,RET000933
RFD000004,2022-08-03,11651.4,Processed,2022-08-05,Refund processed per policy.,RET000657
RFD000005,2022-11-12,43911.55,Pending,,Refund processed per policy.,RET001712
RFD000006,2023-01-29,71020.93,Approved,2023-02-06,Refund processed per policy.,RET000786
RFD000007,2022-10-13,101427.13,Processed,2022-10-19,Refund processed per policy.,RET001260
RFD000008,2023-04-10,31066.04,Approved,2023-04-16,Refund processed per policy.,RET001190
RFD000009,2024-09-27,8706.43,Approved,2024-10-01,Refund processed per policy.,RET001412
RFD000010,2023-01-14,102934.96,Approved,2023-01-15,Refund processed per policy.,RET001066
RFD000011,2023-03-13,114123.7,Processed,2023-03-21,Refund processed per policy.,RET001377
RFD000012,2023-04-08,32977.41,Rejected,2023-04-15,Refund processed per policy.,RET001957
RFD000013,2025-04-03,46956.66,Processed,2025-04-12,Refund processed per policy.,RET001522
RFD000014,2024-11-07,90269.87,Approved,2024-11-13,Refund processed per policy.,RET001103
RFD000015,2025-11-15,112973.03,Processed,2025-11-18,Refund processed per policy.,RET002255
RFD000016,2022-01-19,103179.38,Approved,2022-01-23,Refund processed per policy.,RET000949
RFD000017,2024-12-31,85706.13,Approved,2025-01-08,Refund processed per policy.,RET000866
RFD000018,2023-07-04,10122.4,Approved,2023-07-06,Refund processed per policy.,RET000353
RFD000019,2022-06-13,113872.05,Approved,2022-06-14,Refund processed per policy.,RET001668
RFD000020,2022-05-23,45711.96,Approved,2022-05-30,Refund processed per policy.,RET000142
RFD000021,2025-11-15,68867.09,Approved,2025-11-19,Refund processed per policy.,RET000173
RFD000022,2025-10-05,78772.47,Approved,2025-10-09,Refund processed per policy.,RET001164
RFD000023,2025-06-30,10316.01,Approved,2025-07-04,Refund processed per policy.,RET001151
RFD000024,2022-06-08,47151.67,Approved,2022-06-10,Refund processed per policy.,RET001114
RFD000025,2025-04-19,21704.81,Processed,2025-04-21,Refund processed per policy.,RET000599
RFD000026,2024-11-18,59679.8,Approved,2024-11-20,Refund processed per policy.,RET001947
RFD000027,2025-11-28,114506.17,Processed,2025-12-08,Refund processed per policy.,RET002396
RFD000028,2022-09-25,86208.58,Rejected,2022-10-04,Refund processed per policy.,RET001273
RFD000029,2022-07-01,85584.66,Approved,2022-07-08,Refund processed per policy.,RET000792
RFD000030,2024-03-25,95030.08,Approved,2024-03-29,Refund processed per policy.,RET000662
RFD000031,2025-10-11,48994.88,Processed,2025-10-12,Refund processed per policy.,RET000439
RFD000032,2025-08-16,5552.69,Processed,2025-08-18,Refund processed per policy.,RET001045
RFD000033,2022-09-08,8370.25,Approved,2022-09-10,Refund processed per policy.,RET001780
RFD000034,2025-06-19,9003.5,Approved,2025-06-27,Refund processed per policy.,RET001210
RFD000035,2022-03-05,108098.26,Approved,2022-03-09,Refund processed per policy.,RET001370
RFD000036,2022-01-31,19679.93,Approved,2022-02-08,Refund processed per policy.,RET000852
RFD000037,2025-09-30,82632.22,Approved,2025-10-01,Refund processed per policy.,RET000364
RFD000038,2022-07-06,114617.01,Approved,2022-07-15,Refund processed per policy.,RET001425
RFD000039,2024-07-01,45399.63,Processed,2024-07-03,Refund processed per policy.,RET002113
RFD000040,2024-12-19,89274.69,Processed,2024-12-27,Refund processed per policy.,RET000766
RFD000041,2024-03-15,1848.89,Pending,,Refund processed per policy.,RET000741
RFD000042,2025-02-17,112918.78,Pending,,Refund processed per policy.,RET001235
RFD000043,2023-09-19,58489.89,Approved,2023-09-24,Refund processed per policy.,RET001143
RFD000044,2024-04-29,17596.09,Approved,2024-04-30,Refund processed per policy.,RET001488
RFD000045,2025-03-18,31639.69,Approved,2025-03-28,Refund processed per policy.,RET001650
RFD000046,2023-04-19,42352.19,Approved,2023-04-22,Refund processed per policy.,RET002307
RFD000047,2023-12-10,35003.21,Rejected,2023-12-20,Refund processed per policy.,RET000240
RFD000048,2024-05-04,119497.63,Rejected,2024-05-10,Refund processed per policy.,RET000083
RFD000049,2025-09-28,45264.72,Approved,2025-10-02,Refund processed per policy.,RET001811
RFD000050,2025-01-16,42351.38,Approved,2025-01-25,Refund processed per policy.,RET001156
RFD000051,2024-10-22,112820.35,Rejected,2024-10-24,Refund processed per policy.,RET000477
RFD000052,2023-10-28,93837.47,Approved,2023-11-06,Refund processed per policy.,RET001131
RFD000053,2022-11-07,113771.72,Approved,2022-11-10,Refund processed per policy.,RET001650
RFD000054,2024-05-27,19693.14,Approved,2024-05-31,Refund processed per policy.,RET001554
RFD000055,2023-09-02,94471.41,Approved,2023-09-11,Refund processed per policy.,RET000582
RFD000056,2025-07-06,80928.89,Approved,2025-07-16,Refund processed per policy.,RET002306
RFD000057,2022-10-23,9368.12,Rejected,2022-10-30,Refund processed per policy.,RET001491
RFD000058,2025-06-23,92626.86,Approved,2025-06-30,Refund processed per policy.,RET001782
RFD000059,2022-11-26,20984.21,Approved,2022-12-05,Refund processed per policy.,RET001619
RFD000060,2022-05-22,53916.27,Rejected,2022-05-24,Refund processed per policy.,RET002406
RFD000061,2024-09-08,44934.97,Processed,2024-09-17,Refund processed per policy.,RET002077
RFD000062,2024-08-01,74151.25,Approved,2024-08-04,Refund processed per policy.,RET002082
RFD000063,2025-05-08,19692.54,Approved,2025-05-12,Refund processed per policy.,RET001124
RFD000064,2025-03-07,60311.11,Processed,2025-03-10,Refund processed per policy.,RET002297
RFD000065,2023-02-13,66817.02,Approved,2023-02-19,Refund processed per policy.,RET000396
RFD000066,2022-12-09,59328.4,Approved,2022-12-10,Refund processed per policy.,RET000942
RFD000067,2024-08-04,64634.59,Processed,2024-08-10,Refund processed per policy.,RET001514
RFD000068,2023-09-14,61155.78,Pending,,Refund processed per policy.,RET000865
RFD000069,2022-09-20,28752.9,Approved,2022-09-21,Refund processed per policy.,RET000326
RFD000070,2022-03-30,52433.2,Pending,,Refund processed per policy.,RET000563
RFD000071,2023-06-30,97242.26,Processed,2023-07-02,Refund processed per policy.,RET000103
RFD000072,2023-05-22,105810.17,Pending,,Refund processed per policy.,RET001160
RFD000073,2025-02-07,54807.82,Approved,2025-02-10,Refund processed per policy.,RET000530
RFD000074,2023-01-06,108547.58,Pending,,Refund processed per policy.,RET002114
RFD000075,2023-07-22,75016.74,Approved,2023-07-28,Refund processed per policy.,RET001353
RFD000076,2024-08-28,51829.6,Approved,2024-09-05,Refund processed per policy.,RET000397
RFD000077,2023-01-21,55969.48,Approved,2023-01-28,Refund processed per policy.,RET000174
RFD000078,2025-02-07,9054.0,Rejected,2025-02-14,Refund processed per policy.,RET001643
RFD000079,2025-02-04,16446.42,Approved,2025-02-12,Refund processed per policy.,RET002319
RFD000080,2022-07-15,65697.18,Approved,2022-07-17,Refund processed per policy.,RET000224
RFD000081,2025-08-30,48707.14,Approved,2025-09-05,Refund processed per policy.,RET000155
RFD000082,2024-10-21,101278.95,Rejected,2024-10-23,Refund processed per policy.,RET000866
RFD000083,2022-05-24,32635.8,Approved,2022-05-31,Refund processed per policy.,RET001385
RFD000084,2023-07-21,24001.11,Rejected,2023-07-31,Refund processed per policy.,RET001305
RFD000085,2024-07-16,22866.87,Rejected,2024-07-18,Refund processed per policy.,RET001777
RFD000086,2023-12-01,66886.17,Processed,2023-12-08,Refund processed per policy.,RET001172
RFD000087,2022-10-14,19414.67,Approved,2022-10-22,Refund processed per policy.,RET000345
RFD000088,2023-12-10,57529.37,Approved,2023-12-20,Refund processed per policy.,RET001639
RFD000089,2024-07-12,72307.1,Pending,,Refund processed per policy.,RET002017
RFD000090,2025-11-12,89831.73,Processed,2025-11-13,Refund processed per policy.,RET002142
RFD000091,2022-11-10,109525.69,Approved,2022-11-16,Refund processed per policy.,RET001444
RFD000092,2024-11-18,69720.64,Approved,2024-11-27,Refund processed per policy.,RET001942
RFD000093,2022-01-06,111632.72,Rejected,2022-01-09,Refund processed per policy.,RET001932
RFD000094,2023-11-03,93938.69,Processed,2023-11-09,Refund processed per policy.,RET001543
RFD000095,2024-08-29,3848.42,Processed,2024-09-06,Refund processed per policy.,RET000556
RFD000096,2023-07-12,66397.41,Approved,2023-07-15,Refund processed per policy.,RET000332
RFD000097,2025-07-28,25915.81,Approved,2025-07-29,Refund processed per policy.,RET001246
RFD000098,2024-07-10,87196.24,Processed,2024-07-18,Refund processed per policy.,RET001554
RFD000099,2024-01-18,84401.89,Rejected,2024-01-26,Refund processed per policy.,RET000541
RFD000100,2024-10-25,58318.74,Approved,2024-11-03,Refund processed per policy.,RET000831
RFD000101,2024-02-19,36722.41,Processed,2024-02-27,Refund processed per policy.,RET002299
RFD000102,2022-05-05,100969.73,Approved,2022-05-07,Refund processed per policy.,RET000516
RFD000103,2024-05-15,61366.79,Approved,2024-05-20,Refund processed per policy.,RET000992
RFD000104,2025-12-03,689.43,Approved,2025-12-12,Refund processed per policy.,RET001220
RFD000105,2025-07-15,57042.89,Approved,2025-07-23,Refund processed per policy.,RET002094
RFD000106,2024-11-16,111833.7,Approved,2024-11-24,Refund processed per policy.,RET000150
RFD000107,2025-12-27,64677.9,Approved,2025-12-31,Refund processed per policy.,RET000238
RFD000108,2025-03-06,65934.71,Approved,2025-03-13,Refund processed per policy.,RET001376
RFD000109,2025-07-24,69759.92,Approved,2025-07-30,Refund processed per policy.,RET001847
RFD000110,2024-02-05,52212.5,Approved,2024-02-14,Refund processed per policy.,RET001223
RFD000111,2023-02-17,44667.21,Pending,,Refund processed per policy.,RET000677
RFD000112,2022-01-06,71488.17,Approved,2022-01-12,Refund processed per policy.,RET000790
RFD000113,2024-05-08,13310.4,Processed,2024-05-11,Refund processed per policy.,RET000986
RFD000114,2024-09-11,102141.47,Approved,2024-09-17,Refund processed per policy.,RET000186
RFD000115,2023-07-20,3348.01,Approved,2023-07-30,Refund processed per policy.,RET000664
RFD000116,2022-10-17,42126.08,Approved,2022-10-21,Refund processed per policy.,RET001697
RFD000117,2024-02-01,13773.77,Approved,2024-02-08,Refund processed per policy.,RET001569
RFD000118,2025-04-10,74685.77,Approved,2025-04-18,Refund processed per policy.,RET002217
RFD000119,2023-12-20,85886.77,Processed,2023-12-26,Refund processed per policy.,RET001125
RFD000120,2023-05-05,78374.48,Rejected,2023-05-11,Refund processed per policy.,RET001184
RFD000121,2024-04-27,41024.05,Approved,2024-05-03,Refund processed per policy.,RET002473
RFD000122,2023-10-31,29919.54,Pending,,Refund processed per policy.,RET002363
RFD000123,2024-08-14,67561.04,Approved,2024-08-22,Refund processed per policy.,RET000267
RFD000124,2024-06-04,37069.66,Approved,2024-06-12,Refund processed per policy.,RET002067
RFD000125,2024-02-26,50527.57,Approved,2024-03-04,Refund processed per policy.,RET000350
RFD000126,2025-08-26,117905.93,Approved,2025-08-31,Refund processed per policy.,RET001945
RFD000127,2022-01-06,65644.32,Rejected,2022-01-08,Refund processed per policy.,RET000423
RFD000128,2024-03-13,623.06,Approved,2024-03-21,Refund processed per policy.,RET001889
RFD000129,2025-12-02,94335.85,Approved,2025-12-11,Refund processed per policy.,RET002088
RFD000130,2025-10-10,38536.75,Approved,2025-10-13,Refund processed per policy.,RET000731
RFD000131,2025-02-04,11920.89,Approved,2025-02-05,Refund processed per policy.,RET001362
RFD000132,2024-01-15,109646.3,Pending,,Refund processed per policy.,RET000861
RFD000133,2024-11-02,36756.18,Approved,2024-11-09,Refund processed per policy.,RET000541
RFD000134,2024-04-21,101663.79,Approved,2024-04-24,Refund processed per policy.,RET001571
RFD000135,2025-01-26,43595.67,Processed,2025-01-31,Refund processed per policy.,RET000422
RFD000136,2025-03-28,23148.14,Processed,2025-04-03,Refund processed per policy.,RET000418
RFD000137,2025-04-28,78136.33,Processed,2025-05-06,Refund processed per policy.,RET000662
