Booking_ID,Booking_Date,Booking_Status,TimeSlot,Service_Address,Order_ID
BKG000001,2023-01-04,Completed,16:00-17:00,Central World Service Center,ORD009304
BKG000002,2025-04-15,Completed,11:00-12:00,Siam Paragon Repair Center,ORD017170
BKG000003,2024-01-27,Completed,15:00-16:00,"42 Silom Complex, Bangkok",ORD023553
BKG000004,2022-03-07,Cancelled,14:00-15:00,MBK Center Floor 4,ORD004461
BKG000005,2022-08-06,Completed,13:00-14:00,"42 Silom Complex, Bangkok",ORD022946
BKG000006,2022-10-07,Completed,15:00-16:00,MBK Center Floor 4,ORD013647
BKG000007,2025-08-06,Completed,16:00-17:00,"42 Silom Complex, Bangkok",ORD023867
BKG000008,2024-05-10,Completed,13:00-14:00,Siam Paragon Repair Center,ORD013357
BKG000009,2024-04-30,Booked,15:00-16:00,Siam Paragon Repair Center,ORD013803
BKG000010,2024-03-07,Completed,14:00-15:00,"42 Silom Complex, Bangkok",ORD019719
BKG000011,2022-01-23,Completed,14:00-15:00,MBK Center Floor 4,ORD019891
BKG000012,2023-02-06,Completed,16:00-17:00,"88 Sathorn Rd, Bangkok",ORD016502
BKG000013,2025-04-08,Booked,11:00-12:00,Siam Paragon Repair Center,ORD008387
BKG000014,2024-07-27,No Show,10:00-11:00,Central World Service Center,ORD010299
BKG000015,2023-02-03,Completed,09:00-10:00,Central World Service Center,ORD004171
BKG000016,2025-01-17,Completed,11:00-12:00,IconSiam Service Hub,ORD024110
BKG000017,2024-08-05,Booked,14:00-15:00,"42 Silom Complex, Bangkok",ORD012887
BKG000018,2023-09-11,No Show,11:00-12:00,"15 Sukhumvit Soi 21, Bangkok",ORD012920
BKG000019,2025-10-09,Cancelled,13:00-14:00,MBK Center Floor 4,ORD018171
BKG000020,2024-07-26,Completed,16:00-17:00,"15 Sukhumvit Soi 21, Bangkok",ORD020486
BKG000021,2025-01-12,Completed,14:00-15:00,"15 Sukhumvit Soi 21, Bangkok",ORD012803
BKG000022,2025-02-03,No Show,14:00-15:00,"88 Sathorn Rd, Bangkok",ORD004096
BKG000023,2022-03-16,Completed,16:00-17:00,"15 Sukhumvit Soi 21, Bangkok",ORD020105
BKG000024,2023-05-28,Completed,13:00-14:00,"42 Silom Complex, Bangkok",ORD022385
BKG000025,2024-07-12,In Progress,09:00-10:00,MBK Center Floor 4,ORD010657
BKG000026,2023-06-02,Completed,14:00-15:00,"15 Sukhumvit Soi 21, Bangkok",ORD005703
BKG000027,2025-11-08,Completed,13:00-14:00,Siam Paragon Repair Center,ORD024531
BKG000028,2025-12-28,Completed,10:00-11:00,Siam Paragon Repair Center,ORD020954
BKG000029,2023-06-02,Completed,16:00-17:00,MBK Center Floor 4,ORD005707
BKG000030,2025-03-09,Completed,16:00-17:00,Central World Service Center,ORD020221
BKG000031,2022-05-17,Completed,14:00-15:00,MBK Center Floor 4,ORD024798
BKG000032,2022-11-09,Completed,10:00-11:00,Siam Paragon Repair Center,ORD022349
