Product_SerialNumber,Stock_ID,track_date,track_updated_movement
SN518677347,STK000305,2022-08-28,Sold
SN183163451,STK000129,2024-11-01,Adjusted
SN947467869,STK000695,2024-07-23,Transferred
SN855339761,STK000389,2025-11-19,Received
SN252217115,STK001373,2022-02-21,Received
SN505225906,STK000744,2022-10-07,Reserved
SN844699387,STK000205,2023-08-18,Sold
SN688975627,STK000029,2025-12-12,Received
SN642026297,STK000588,2022-04-27,Adjusted
SN183175424,STK000863,2023-04-04,Returned
SN442868695,STK000348,2025-06-04,Sold
SN144155421,STK000687,2022-05-20,Adjusted
SN160213727,STK000858,2022-01-25,Transferred
SN678843958,STK000997,2023-03-04,Sold
SN437039174,STK001457,2022-11-29,Returned
SN668370652,STK001311,2024-03-06,Adjusted
SN969298774,STK000292,2022-08-24,Adjusted
SN451412713,STK001345,2023-09-10,Adjusted
SN463456800,STK000992,2023-03-03,Transferred
SN767048890,STK000147,2022-03-04,Received
SN753711932,STK000950,2024-02-24,Received
SN471262120,STK000590,2022-09-08,Received
SN256249832,STK001469,2025-01-30,Reserved
SN861036702,STK001464,2025-10-22,Transferred
SN717399631,STK000524,2025-08-09,Sold
SN806006384,STK000666,2024-08-22,Received
SN503775620,STK000017,2025-12-16,Transferred
SN497665934,STK000863,2023-08-25,Reserved
SN365549500,STK001267,2023-02-18,Transferred
SN871830436,STK001110,2025-05-13,Adjusted
SN451412713,STK000727,2025-08-01,Reserved
SN651986662,STK001160,2023-09-13,Adjusted
SN977274810,STK000622,2024-07-20,Sold
SN837779943,STK000892,2024-09-16,Transferred
SN517175749,STK000659,2024-05-01,Adjusted
SN440094033,STK001344,2025-07-06,Returned
SN870809125,STK000020,2023-10-11,Reserved
SN658764771,STK000641,2022-03-16,Reserved
SN981908498,STK000111,2022-05-07,Adjusted
SN162390086,STK001287,2025-02-18,Returned
SN471262120,STK000959,2024-11-07,Transferred
SN107872186,STK000704,2025-05-29,Returned
SN555020609,STK001174,2025-06-24,Returned
SN939060325,STK000676,2022-06-07,Adjusted
SN587274756,STK000851,2023-04-27,Transferred
SN462198422,STK000661,2024-06-09,Reserved
SN167123977,STK001029,2025-09-21,Adjusted
SN277005077,STK000240,2025-10-24,Transferred
SN650140502,STK000203,2025-02-25,Transferred
SN835261303,STK000384,2022-03-11,Transferred
SN638236949,STK000601,2024-02-11,Received
SN566961377,STK001206,2023-03-16,Reserved
SN867468531,STK001094,2025-12-09,Sold
SN480788867,STK000047,2025-04-14,Returned
SN982769541,STK001413,2024-09-22,Adjusted
SN183163451,STK001355,2024-12-09,Sold
SN824954148,STK000062,2023-03-07,Returned
SN861036702,STK000828,2023-07-04,Received
SN208845305,STK000562,2025-03-18,Adjusted
SN397471112,STK000472,2023-03-02,Sold
SN808351589,STK001422,2022-03-19,Received
SN350346336,STK000110,2023-05-25,Sold
SN216872612,STK000843,2024-02-20,Reserved
SN451111930,STK001373,2022-10-30,Adjusted
SN867468531,STK000895,2023-09-14,Returned
SN162390086,STK000032,2024-02-13,Returned
SN616168357,STK000424,2024-04-03,Returned
SN608020535,STK000133,2025-10-02,Sold
SN380094439,STK000542,2023-11-29,Sold
SN564828977,STK000907,2024-07-08,Adjusted
SN932831232,STK001404,2022-12-20,Transferred
SN159870818,STK001102,2023-09-12,Received
SN615517327,STK000455,2022-12-26,Returned
SN108659784,STK001052,2024-01-30,Sold
SN390838922,STK000656,2024-05-13,Sold
SN330705481,STK001098,2023-08-11,Adjusted
SN517175749,STK000610,2022-01-03,Reserved
SN709994661,STK000678,2025-11-14,Reserved
SN782915645,STK000426,2025-04-25,Reserved
SN845331158,STK000891,2022-02-22,Returned
SN542985542,STK000099,2025-07-22,Transferred
SN523665265,STK001183,2025-09-09,Returned
SN620932215,STK001148,2024-05-11,Returned
SN871830436,STK001386,2025-05-27,Reserved
SN832781276,STK000291,2023-01-01,Returned
SN552291754,STK000436,2025-08-31,Transferred
SN565884131,STK000841,2024-01-05,Sold
SN416395000,STK000689,2025-11-14,Adjusted
SN347003545,STK000064,2022-01-30,Sold
SN113674643,STK001206,2025-02-03,Received
SN512827994,STK000078,2025-09-01,Adjusted
SN617203631,STK000380,2025-01-28,Received
SN481182921,STK000110,2024-03-12,Transferred
SN880337248,STK000505,2023-04-30,Sold
SN816072298,STK001482,2023-08-19,Transferred
SN887800374,STK001068,2023-09-01,Received
SN886196669,STK001469,2024-01-23,Transferred
SN698611742,STK000779,2022-07-10,Returned
SN174333043,STK001058,2022-06-13,Reserved
SN266831295,STK000009,2025-06-17,Adjusted
SN216872612,STK000260,2023-03-25,Adjusted
SN417230497,STK000657,2023-04-12,Sold
SN604401434,STK000633,2022-08-03,Sold
SN872706479,STK001496,2023-03-02,Received
SN598888943,STK001002,2024-02-14,Returned
SN977274810,STK001053,2025-01-14,Received
SN604401434,STK000413,2023-11-09,Sold
SN649483396,STK000537,2024-08-05,Adjusted
SN470443529,STK001065,2025-12-01,Received
SN260128874,STK000638,2024-04-02,Received
SN195209218,STK001312,2022-03-22,Returned
SN482256697,STK000251,2023-01-17,Received
SN687360638,STK001345,2025-01-03,Transferred
SN374898833,STK000162,2025-03-14,Reserved
SN167123977,STK000907,2024-04-29,Sold
SN565676781,STK000161,2025-08-23,Adjusted
SN924382741,STK000527,2024-07-11,Reserved
SN503775620,STK001344,2025-12-20,Reserved
SN740090397,STK000267,2025-08-21,Returned
SN767713861,STK000061,2023-08-21,Transferred
SN308653007,STK000703,2022-11-22,Sold
SN672265732,STK000542,2023-07-22,Transferred
SN521440835,STK000489,2024-03-23,Transferred
SN857386759,STK000291,2024-01-01,Sold
SN115075284,STK001433,2025-08-10,Adjusted
SN997802121,STK000772,2023-06-29,Returned
SN309419237,STK000251,2022-02-26,Adjusted
SN375072268,STK001487,2024-09-06,Returned
SN640366635,STK000804,2023-12-12,Transferred
SN746280719,STK001076,2024-02-21,Returned
SN657324842,STK001337,2025-02-19,Returned
SN309419237,STK000199,2024-07-31,Reserved
SN862161956,STK001240,2024-07-16,Sold
SN266831295,STK001391,2025-12-25,Sold
SN801325215,STK001310,2025-04-01,Received
SN723750328,STK001373,2022-07-09,Returned
SN870809125,STK001333,2023-04-06,Reserved
SN361347624,STK000168,2025-11-09,Transferred
SN939060325,STK001053,2025-02-10,Returned
SN931906124,STK000892,2024-02-17,Sold
SN821875925,STK000987,2024-11-11,Adjusted
SN165621030,STK000455,2023-05-02,Returned
SN234427982,STK000479,2025-03-14,Transferred
SN542116966,STK001331,2024-11-03,Returned
SN871435208,STK001314,2022-09-09,Received
