Transaction_ID,Quantity,TotalPrice,Status,CreatedDate,Payment_ID,Customer_account_ID
TXN000001,9,14206.96,Completed,2024-02-16 19:26:00,PAY004991,CST000038
TXN000002,10,67636.69,Completed,2023-06-04 19:56:00,PAY012228,CST000296
TXN000003,1,108129.64,Pending,2024-11-15 21:51:00,PAY018115,CST000733
TXN000004,4,135153.27,Completed,2024-06-03 15:22:00,PAY005872,CST000225
TXN000005,2,169418.19,Completed,2025-07-15 18:15:00,PAY011153,CST002460
TXN000006,2,132619.28,Pending,2025-12-28 12:27:00,PAY019137,CST000782
TXN000007,6,91554.71,Pending,2022-07-01 19:49:00,PAY021052,CST000547
TXN000008,6,108249.72,Completed,2024-10-21 21:01:00,PAY013790,CST002501
TXN000009,3,186447.27,Failed,2023-08-08 11:08:00,PAY006923,CST000298
TXN000010,9,72226.39,Completed,2023-08-29 10:22:00,PAY019479,CST002762
TXN000011,9,100287.22,Completed,2023-05-23 14:06:00,PAY001957,CST002113
TXN000012,10,69799.41,Completed,2022-03-17 18:18:00,PAY002118,CST002452
TXN000013,8,75665.59,Completed,2022-07-09 21:01:00,PAY023342,CST000030
TXN000014,8,184536.22,Completed,2024-10-12 10:04:00,PAY022023,CST000113
TXN000015,8,116439.43,Refunded,2022-09-07 13:20:00,PAY019299,CST002940
TXN000016,5,23480.74,Refunded,2025-11-23 17:39:00,PAY021134,CST000823
TXN000017,10,84261.91,Completed,2025-01-22 11:10:00,PAY006822,CST002116
TXN000018,6,103019.11,Failed,2024-05-18 17:01:00,PAY020935,CST002310
TXN000019,3,85184.37,Pending,2022-02-20 19:17:00,PAY006437,CST001765
TXN000020,2,78825.1,Completed,2024-05-27 15:26:00,PAY016934,CST001586
TXN000021,4,190259.01,Completed,2023-06-22 14:44:00,PAY023251,CST002307
TXN000022,2,73914.62,Completed,2022-09-26 15:22:00,PAY012873,CST001307
TXN000023,4,93886.51,Completed,2024-01-16 10:05:00,PAY011118,CST001233
TXN000024,9,113419.3,Completed,2022-12-23 13:09:00,PAY000298,CST002777
TXN000025,9,119849.23,Pending,2023-07-06 21:57:00,PAY000754,CST000983
TXN000026,5,138119.28,Completed,2025-04-10 12:15:00,PAY009720,CST001494
TXN000027,10,118973.46,Completed,2023-01-14 14:05:00,PAY006090,CST000875
TXN000028,7,20277.03,Completed,2025-05-11 20:24:00,PAY014880,CST002895
TXN000029,3,148572.36,Completed,2024-02-20 13:01:00,PAY024043,CST002917
TXN000030,1,54386.76,Completed,2025-04-21 13:59:00,PAY019862,CST000597
TXN000031,9,83630.32,Completed,2023-10-30 13:39:00,PAY020250,CST000464
TXN000032,3,41968.4,Refunded,2022-03-03 20:39:00,PAY021142,CST000865
TXN000033,4,26631.91,Completed,2023-10-07 16:13:00,PAY023607,CST001693
TXN000034,9,133144.14,Completed,2025-06-08 17:49:00,PAY006769,CST001939
