Warranty_ID,Warranty_Description,Product_SerialNumber
WAR000001,2 Year Extended Warranty,SN571181665
WAR000002,6 Month Basic Warranty,SN269083605
WAR000003,Lifetime Warranty on Parts,SN632692614
WAR000004,6 Month Basic Warranty,SN129540106
WAR000005,Lifetime Warranty on Parts,SN866944899
WAR000006,Lifetime Warranty on Parts,SN204565968
WAR000007,Lifetime Warranty on Parts,SN679922843
WAR000008,2 Year Extended Warranty,SN470443529
WAR000009,6 Month Basic Warranty,SN459451013
WAR000010,1 Year Limited Warranty,SN658764771
WAR000011,6 Month Basic Warranty,SN697614499
WAR000012,Lifetime Warranty on Parts,SN893679551
WAR000013,Lifetime Warranty on Parts,SN645975527
WAR000014,2 Year Extended Warranty,SN830572850
WAR000015,Lifetime Warranty on Parts,SN243392529
WAR000016,3 Year Premium Warranty,SN656184057
WAR000017,6 Month Basic Warranty,SN542116966
WAR000018,6 Month Basic Warranty,SN983556207
WAR000019,2 Year Extended Warranty,SN961622974
WAR000020,Lifetime Warranty on Parts,SN558736454
WAR000021,1 Year Limited Warranty,SN751719292
WAR000022,6 Month Basic Warranty,SN179877028
WAR000023,2 Year Extended Warranty,SN950434969
WAR000024,3 Year Premium Warranty,SN616168357
WAR000025,6 Month Basic Warranty,SN215789725
WAR000026,1 Year Limited Warranty,SN868597168
WAR000027,3 Year Premium Warranty,SN699642085
WAR000028,6 Month Basic Warranty,SN512827994
WAR000029,1 Year Limited Warranty,SN886196669
WAR000030,2 Year Extended Warranty,SN792557586
WAR000031,3 Year Premium Warranty,SN659860385
WAR000032,Lifetime Warranty on Parts,SN414917268
WAR000033,Lifetime Warranty on Parts,SN987397067
WAR000034,1 Year Limited Warranty,SN819628197
WAR000035,2 Year Extended Warranty,SN365549500
WAR000036,1 Year Limited Warranty,SN875595874
WAR000037,6 Month Basic Warranty,SN555020609
WAR000038,1 Year Limited Warranty,SN849787052
WAR000039,6 Month Basic Warranty,SN183163451
WAR000040,1 Year Limited Warranty,SN317914527
WAR000041,1 Year Limited Warranty,SN947467869
WAR000042,6 Month Basic Warranty,SN349858660
WAR000043,3 Year Premium Warranty,SN685318615
WAR000044,3 Year Premium Warranty,SN580542964
WAR000045,2 Year Extended Warranty,SN113674643
WAR000046,2 Year Extended Warranty,SN867468531
WAR000047,2 Year Extended Warranty,SN125363815
WAR000048,Lifetime Warranty on Parts,SN892753602
WAR000049,Lifetime Warranty on Parts,SN278784216
WAR000050,Lifetime Warranty on Parts,SN105600478
WAR000051,2 Year Extended Warranty,SN552532845
WAR000052,Lifetime Warranty on Parts,SN608020535
WAR000053,6 Month Basic Warranty,SN651986662
WAR000054,Lifetime Warranty on Parts,SN270054741
WAR000055,6 Month Basic Warranty,SN726872665
WAR000056,1 Year Limited Warranty,SN596312089
WAR000057,6 Month Basic Warranty,SN863488510
WAR000058,2 Year Extended Warranty,SN213260151
WAR000059,6 Month Basic Warranty,SN832781276
WAR000060,6 Month Basic Warranty,SN835261303
WAR000061,Lifetime Warranty on Parts,SN544179579
WAR000062,3 Year Premium Warranty,SN508388263
WAR000063,1 Year Limited Warranty,SN350569181
WAR000064,2 Year Extended Warranty,SN720624517
WAR000065,1 Year Limited Warranty,SN958473986
WAR000066,2 Year Extended Warranty,SN118882081
WAR000067,1 Year Limited Warranty,SN362363951
WAR000068,1 Year Limited Warranty,SN905444958
WAR000069,1 Year Limited Warranty,SN530773542
WAR000070,3 Year Premium Warranty,SN332053516
WAR000071,2 Year Extended Warranty,SN805557365
WAR000072,3 Year Premium Warranty,SN684590140
WAR000073,3 Year Premium Warranty,SN775349787
WAR000074,2 Year Extended Warranty,SN640366635
WAR000075,2 Year Extended Warranty,SN702555339
WAR000076,3 Year Premium Warranty,SN600433375
WAR000077,2 Year Extended Warranty,SN983188146
WAR000078,6 Month Basic Warranty,SN891869344
WAR000079,3 Year Premium Warranty,SN311948205
WAR000080,2 Year Extended Warranty,SN186404978
WAR000081,Lifetime Warranty on Parts,SN307761952
WAR000082,3 Year Premium Warranty,SN150938666
WAR000083,3 Year Premium Warranty,SN562513435
